Query,BPM
All We Ever Do Is Talk Del Water Gap,153.0
Sailor Song Gigi Perez,95.0
Always Daniel Caesar,136.0
Are You Even Real (feat. Givēon) Teddy Swims,75.0
Far Away EASHA,113.0
Valerie Rome Hero Foxes,101.0
Powerslide Ryan Beatty,102.0
Jupiter Matt Maltese,180.0
I Think I Like When It Rains WILLIS,124.0
Slide Away Miley Cyrus,148.0
Coping on Unemployment Del Water Gap,134.0
Bruises Off The Peach Ryan Beatty,132.0
It Was Coming All Along Maggie Rogers,97.0
Pluto Projector Rex Orange County,80.0
Hold Me Down Daniel Caesar,116.0
Paris The 1975,117.0
Promise Laufey,76.0
Fable Gigi Perez,102.0
Somewhere Only We Know Keane,172.0
Would That I Hozier,65.0
I Know The End Phoebe Bridgers,112.0
Welcome To New York (Taylor's Version) Taylor Swift,117.0
'Cause You Have To LANY,161.0
Dead To Me Kali Uchis,119.0
i hope ur miserable until ur dead Nessa Barrett,116.0
stuck Liang Lawrence,90.0
Recency Bias Tommy Lefroy,72.0
Worst Case Kid Tommy Lefroy,118.0
I Haven't Seen You Since The Summer Beeson,123.0
So Far Gone (feat. Lizzy McAlpine) ROLE MODEL,93.0
Escapades August James,90.0
Supermarket Flowers Ed Sheeran,90.0
Just For Now Beeson,176.0
LTF Kiana Ledé,95.0
Tear in My Heart Twenty One Pilots,120.0
Two people Gracie Abrams,143.0
STUD Troye Sivan,120.0
C'Mon Kesha,126.0
Evergreen Richy Mitch & The Coal Miners,79.0
Let It Rain Valley,168.0
Somebody Else - Spotify Singles ROLE MODEL,204.0
Anything Griff,131.0
a girl like me flowerovlove,126.0
Mindless NJaM,112.0
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack Teriyaki Boyz",127.0
Bass Player's Brother Valley,170.0
Juno Sabrina Carpenter,131.0
Bed Chem Sabrina Carpenter,95.0
Good Graces Sabrina Carpenter,126.0
Taste Sabrina Carpenter,107.0
stay late Clubhouse,76.0
Die With A Smile Lady Gaga,158.0
Everyday Feels Like Sunday Jesse Barrera,90.0
Remember You Aziz Hedra,81.0
Dream keshi,106.0
Bass Player's Brother Valley,170.0
American Teenager Ethel Cain,120.0
Hey Angel One Direction,92.0
Linger The Cranberries,95.0
Solar Power Lorde,88.0
Daisy STEREO DIVE FOUNDATION,170.0
One more time，One more chance Masayoshi Yamazaki,129.0
幾億光年 Omoinotake,96.0
Follow Through Devin Kennedy,78.0
Running Out Of Time Ashe,150.0
:) The Japanese House,108.0
残り香 4na,96.0
夜行性(100回嘔吐Remix) Anonymouz,112.0
Cynical City 新東京,120.0
Hypotheticals Lake Street Dive,164.0
Garden Fujii Kaze,138.0
THE GREATEST Billie Eilish,128.0
BIRDS OF A FEATHER Billie Eilish,105.0
CHIHIRO Billie Eilish,110.0
Paris in the Rain Lauv,80.0
Malibu THE DRIVER ERA,111.0
Alfie's Song (Not So Typical Love Song) Bleachers,142.0
In My Room Troye Sivan,111.0
Take A Chance With Me NIKI,94.0
Fall In Love Alone Stacey Ryan,172.0
Calling After Me Wallows,140.0
Okay Chase Atlantic,130.0
Been Like This Meghan Trainor,120.0
I Can Do It With a Broken Heart Taylor Swift,130.0
Guilty as Sin? Taylor Swift,95.0
But Daddy I Love Him Taylor Swift,80.0
My Boy Only Breaks His Favorite Toys Taylor Swift,97.0
The Tortured Poets Department Taylor Swift,192.0
Fortnight (feat. Post Malone) Taylor Swift,192.0
thanK you aIMee Taylor Swift,96.0
The Manuscript Taylor Swift,94.0
Robin Taylor Swift,138.0
The Black Dog Taylor Swift,154.0
Clara Bow Taylor Swift,104.0
loml Taylor Swift,79.0
I Can Fix Him (No Really I Can) Taylor Swift,107.0
Na Na Na Lay Bankz,155.0
Black Magic Little Mix,112.0
Sad to Breathe The Japanese House,94.0
You First (Re: Remi Wolf) Paramore,128.0
Old With You grentperez,133.0
Falling for You Devin Kennedy,82.0
Break Time Orion Song,94.0
COFFEE SHOP RC AVENUE,80.0
so american Olivia Rodrigo,93.0
good 4 u Olivia Rodrigo,167.0
pink dress Humble the Great,112.0
Margaret (feat. Bleachers) Lana Del Rey,104.0
Friends The Japanese House,104.0
I Guess Lizzy McAlpine,92.0
Boyhood The Japanese House,115.0
Doll House Del Water Gap,120.0
eternal sunshine Ariana Grande,160.0
Mary's Song (Oh My My My) Taylor Swift,75.0
Build Me Up Buttercup - Mono The Foundations,134.0
"September Earth, Wind & Fire",126.0
Kiss Me Sixpence None The Richer,100.0
Love Grows (Where My Rosemary Goes) Edison Lighthouse,109.0
Stop Spice Girls,130.0
Counting Sheep Emmanuel Franco,104.0
Magic Will Linley,88.0
When You’re Breaking My Heart Gatlin,175.0
Vienna Billy Joel,125.0
Playing On My Mind The 1975,81.0
Everybody Hurts R.E.M.,94.0
Deeper Well Kacey Musgraves,110.0
Love Is Ingrid Michaelson,174.0
I Blame Myself Sky Ferreira,115.0
Mystery of Love Mree,90.0
Save Me One Last Time Aimee Nolte,140.0
Deep End Holly Humberstone,109.0
End Of The World Searows,136.0
Never Be Like You (feat. Kai) Flume,120.0
Space Invader The National,110.0
Too Good At Goodbyes Sam Smith,92.0
Love Like This ZAYN,130.0
Headcase Elle Coves,80.0
Beg for You (feat. Rina Sawayama) Charli xcx,128.0
wish you would Elle Darlington,109.0
PANIC ATTACK Clinton Kane,124.0
i can't get my shit together Baby Queen,120.0
Lava Lamp Lolo Zouaï,130.0
If You Died Today Natalie Jane,170.0
Siren Ashley Sienna,75.0
In The City Charli xcx,128.0
Boom Clap Charli xcx,92.0
Something Bout That Feeling Devin Kennedy,204.0
Day 1 ◑ HONNE,95.0
Home Luke Chiang,93.0
Dive Olivia Dean,90.0
You’re Just A Boy (And I’m Kinda The Man) Maisie Peters,132.0
Into Your Room Holly Humberstone,94.0
Red Wine Supernova Chappell Roan,124.0
If You’re Too Shy (Let Me Know) The 1975,126.0
butterfly effect - demo Sophie Holohan,145.0
Madison in the Morning Timothy Edward Carpenter,86.0
Jealous Labrinth,117.0
カタオモイ Aimer,97.0
Don't Go Dark (Live At Radio City Music Hall) Bleachers,148.0
Forgive Yourself Em Beihold,98.0
could cry just thinkin about you - Full Version Troye Sivan,148.0
The Sound The 1975,121.0
Just You Teddy Adhitya,80.0
"we'll be okay, for today Arash Buana",108.0
Your River In Me O3ohn,137.0
skinny dipping - Acoustic Sabrina Carpenter,172.0
It's Ok If You Forget Me Astrid S,172.0
Nothing Revealed / Everything Denied The 1975,169.0
Youuu COIN,103.0
Tonight (I Wish I Was Your Boy) The 1975,172.0
Close To You Dayglow,140.0
Sanctuary Joji,168.0
Mariposa Peach Tree Rascals,112.0
That I Miss You Vansire,115.0
Sincerity Is Scary The 1975,91.0
Ordinary Amber Ais,97.0
Happy Anymore Trousdale,126.0
Grown Gatlin,130.0
I Lost a Friend FINNEAS,169.0
