Query,BPM
All We Ever Do Is Talk Del Water Gap,153
Sailor Song Gigi Perez,95
Always Daniel Caesar,136
Are You Even Real (feat. Givēon) Teddy Swims,75
Far Away EASHA,113
Valerie Rome Hero Foxes,101
Powerslide Ryan Beatty,102
Jupiter Matt Maltese,180
I Think I Like When It Rains WILLIS,124
Slide Away Miley Cyrus,148
Coping on Unemployment Del Water Gap,134
Bruises Off The Peach Ryan Beatty,132
It Was Coming All Along Maggie Rogers,97
Pluto Projector Rex Orange County,80
Hold Me Down Daniel Caesar,116
Paris The 1975,117
Promise Laufey,76
Fable Gigi Perez,102
Somewhere Only We Know Keane,172
Would That I Hozier,65
I Know The End Phoebe Bridgers,112
Welcome To New York (Taylor's Version) Taylor Swift,117
'Cause You Have To LANY,161
Dead To Me Kali Uchis,119
i hope ur miserable until ur dead Nessa Barrett,116
stuck Liang Lawrence,90
Recency Bias Tommy Lefroy,72
Worst Case Kid Tommy Lefroy,118
I Haven't Seen You Since The Summer Beeson,123
So Far Gone (feat. Lizzy McAlpine) ROLE MODEL,93
Escapades August James,90
Supermarket Flowers Ed Sheeran,90
Just For Now Beeson,176
LTF Kiana Ledé,95
Tear in My Heart Twenty One Pilots,120
Two people Gracie Abrams,143
STUD Troye Sivan,120
C'Mon Kesha,126
Evergreen Richy Mitch & The Coal Miners,79
Let It Rain Valley,168
Somebody Else - Spotify Singles ROLE MODEL,204
Anything Griff,131
a girl like me flowerovlove,126
Mindless NJaM,112
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack Teriyaki Boyz",127
Bass Player's Brother Valley,170
Juno Sabrina Carpenter,131
Bed Chem Sabrina Carpenter,95
Good Graces Sabrina Carpenter,126
Taste Sabrina Carpenter,107
stay late Clubhouse,76
Die With A Smile Lady Gaga,158
Everyday Feels Like Sunday Jesse Barrera,90
Remember You Aziz Hedra,81
Dream keshi,106
Bass Player's Brother Valley,170
American Teenager Ethel Cain,120
Hey Angel One Direction,92
Linger The Cranberries,95
Solar Power Lorde,88
Daisy STEREO DIVE FOUNDATION,170
One more time，One more chance Masayoshi Yamazaki,129
幾億光年 Omoinotake,96
Follow Through Devin Kennedy,78
Running Out Of Time Ashe,150
:) The Japanese House,108
残り香 4na,96
夜行性(100回嘔吐Remix) Anonymouz,112
Cynical City 新東京,120
Hypotheticals Lake Street Dive,164
Garden Fujii Kaze,138
THE GREATEST Billie Eilish,128
BIRDS OF A FEATHER Billie Eilish,105
CHIHIRO Billie Eilish,110
Paris in the Rain Lauv,80
Malibu THE DRIVER ERA,111
Alfie's Song (Not So Typical Love Song) Bleachers,142
In My Room Troye Sivan,111
Take A Chance With Me NIKI,94
Fall In Love Alone Stacey Ryan,172
Calling After Me Wallows,140
Okay Chase Atlantic,130
Been Like This Meghan Trainor,120
I Can Do It With a Broken Heart Taylor Swift,130
Guilty as Sin? Taylor Swift,95
But Daddy I Love Him Taylor Swift,80
My Boy Only Breaks His Favorite Toys Taylor Swift,97
The Tortured Poets Department Taylor Swift,192
Fortnight (feat. Post Malone) Taylor Swift,192
thanK you aIMee Taylor Swift,96
The Manuscript Taylor Swift,94
Robin Taylor Swift,138
The Black Dog Taylor Swift,154
Clara Bow Taylor Swift,104
loml Taylor Swift,79
I Can Fix Him (No Really I Can) Taylor Swift,107
Na Na Na Lay Bankz,155
Black Magic Little Mix,112
Sad to Breathe The Japanese House,94
You First (Re: Remi Wolf) Paramore,128
Old With You grentperez,133
Falling for You Devin Kennedy,82
Break Time Orion Song,94
COFFEE SHOP RC AVENUE,80
so american Olivia Rodrigo,93
good 4 u Olivia Rodrigo,167
pink dress Humble the Great,112
Margaret (feat. Bleachers) Lana Del Rey,104
Friends The Japanese House,104
I Guess Lizzy McAlpine,92
Boyhood The Japanese House,115
Doll House Del Water Gap,120
eternal sunshine Ariana Grande,160
Mary's Song (Oh My My My) Taylor Swift,75
Build Me Up Buttercup - Mono The Foundations,134
"September Earth, Wind & Fire",126
Kiss Me Sixpence None The Richer,100
